state_abb,Provider Name,state,geometry
AL,"BURNS NURSING HOME, INC.",Alabama,"c(-87.736372, 34.514971)"
AL,COOSA VALLEY HEALTHCARE CENTER,Alabama,"c(-86.254687, 33.163735)"
AL,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",Alabama,"c(-88.087694, 30.690001)"
AL,SOUTHLAND NURSING HOME,Alabama,"c(-87.308695, 32.615469)"
AL,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.811724, 33.528778)"
AL,DIVERSICARE OF BIG SPRINGS,Alabama,"c(-86.586137, 34.721746)"
AL,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,Alabama,"c(-85.691216, 32.432819)"
AL,RIVER CITY CENTER,Alabama,"c(-86.970492, 34.586299)"
AL,SHADESCREST HEALTH CARE CENTER,Alabama,"c(-87.278105, 33.826314)"
AL,KELLER LANDING,Alabama,"c(-87.705834, 34.742978)"
AL,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,Alabama,"c(-86.57047, 34.697345)"
AL,"OAK KNOLL HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.850394, 33.510568)"
AL,"SELMA HEALTH AND REHAB, LLC",Alabama,"c(-87.046679, 32.42679)"
AL,"NHC HEALTHCARE, ANNISTON",Alabama,"c(-85.803373, 33.63181)"
AL,CROWNE HEALTH CARE OF CITRONELLE,Alabama,"c(-88.242325, 31.092237)"
AL,WASHINGTON COUNTY NURSING HOME,Alabama,"c(-88.235291, 31.460296)"
AL,CLAY COUNTY NURSING HOME,Alabama,"c(-85.823789, 33.276548)"
AL,TRAYLOR RETIREMENT COMMUNITY,Alabama,"c(-85.377349, 33.160179)"
AL,BROOKSHIRE HEALTHCARE CENTER,Alabama,"c(-86.629849, 34.716006)"
AL,"NHC HEALTHCARE, MOULTON",Alabama,"c(-87.285989, 34.483691)"
AL,ATMORE NURSING CENTER,Alabama,"c(-87.478489, 31.016117)"
AL,DIVERSICARE OF OXFORD,Alabama,"c(-85.829657, 33.606969)"
AL,"CORDOVA HEALTH AND REHABILITATION, LLC",Alabama,"c(-87.184853, 33.762015)"
AL,OAK TRACE CARE & REHABILITATION CENTER,Alabama,"c(-86.94124, 33.429256)"
AL,CLEBURNE COUNTY NURSING HOME,Alabama,"c(-85.589035, 33.636073)"
AL,TERRACE OAKS CARE & REHABILITATION CENTER,Alabama,"c(-86.941519, 33.430499)"
AL,DIVERSICARE OF BOAZ,Alabama,"c(-86.161699, 34.219899)"
AL,"PRATTVILLE HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.428676, 32.480579)"
AL,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",Alabama,"c(-87.719572, 34.51299)"
AL,COTTAGE OF THE SHOALS,Alabama,"c(-87.679028, 34.726575)"
AL,RUSSELLVILLE HEALTH CARE INC,Alabama,"c(-87.71927, 34.509977)"
AL,"HANCEVILLE NURSING & REHAB CENTER, INC",Alabama,"c(-86.771875, 34.062879)"
AL,"SUMMERFORD HEALTH AND REHAB, LLC",Alabama,"c(-86.911951, 34.385159)"
AL,FAIR HAVEN,Alabama,"c(-86.727038, 33.523365)"
AL,"ELBA NURSING AND REHABILITATION CENTER, LLC",Alabama,"c(-86.076329, 31.429031)"
AL,MAGNOLIA RIDGE,Alabama,"c(-86.798514, 33.650017)"
AL,EVERGREEN NURSING HOME,Alabama,"c(-86.94537, 31.422084)"
AL,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",Alabama,"c(-86.769544, 33.60914)"
AL,"SOUTH HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.799773, 33.496663)"
AL,ALLEN HEALTH AND REHABILITATION,Alabama,"c(-88.052128, 30.672586)"
AL,CROWNE HEALTH CARE OF MOBILE,Alabama,"c(-88.101369, 30.652377)"
AL,ALTOONA  HEALTH & REHAB,Alabama,"c(-86.319554, 34.034331)"
AL,"RIDGEVIEW HEALTH SERVICES, INC",Alabama,"c(-87.26335, 33.859719)"
AL,CROWNE HEALTH CARE OF FT PAYNE,Alabama,"c(-85.715164, 34.454657)"
AL,HALEYVILLE HEALTH CARE CENTER,Alabama,"c(-87.621338, 34.228696)"
AL,PERRY COUNTY NURSING HOME,Alabama,"c(-87.310044, 32.631705)"
AL,DIVERSICARE OF ONEONTA,Alabama,"c(-86.466169, 33.951988)"
AL,SYLACAUGA HEALTH AND REHAB SERVICES,Alabama,"c(-86.267588, 33.16723)"
AL,"TALLADEGA HEALTHCARE CENTER, INC",Alabama,"c(-86.0881, 33.427681)"
AL,ALBERTVILLE NURSING HOME,Alabama,"c(-86.193455, 34.281539)"
AL,CHOCTAW HEALTH AND REHAB,Alabama,"c(-88.206819, 32.08991)"
AL,DADEVILLE HEALTHCARE CENTER,Alabama,"c(-85.759194, 32.833963)"
AL,MARION REGIONAL NURSING HOME,Alabama,"c(-87.991194, 34.125111)"
AL,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,Alabama,"c(-88.078467, 30.684156)"
AL,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",Alabama,"c(-87.649766, 34.836381)"
AL,SOUTHERN SPRINGS HEALTHCARE FACILITY,Alabama,"c(-85.689097, 32.140365)"
AL,COOSA VALLEY HEALTH AND REHAB,Alabama,"c(-85.922042, 33.954671)"
AL,WESLEY PLACE ON HONEYSUCKLE,Alabama,"c(-85.434841, 31.219941)"
AL,"CROSSVILLE HEALTH AND REHABILITATION, LLC",Alabama,"c(-85.987986, 34.295715)"
AL,WOODHAVEN MANOR NURSING HOME,Alabama,"c(-87.835559, 32.500826)"
AL,GREENE COUNTY NURSING HOME,Alabama,"c(-87.889307, 32.844744)"
AL,PARKWOOD HEALTH CARE FACILITY,Alabama,"c(-85.018939, 32.490965)"
AL,GADSDEN HEALTH AND REHAB CENTER,Alabama,"c(-86.028613, 33.989468)"
AL,"GEORGIANA HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.732821, 31.642937)"
AL,NORTH MOBILE NURSING AND REHABILITATION CTR,Alabama,"c(-88.12817, 30.764496)"
AL,CLOVERDALE REHABILITATION AND NURSING CENTER,Alabama,"c(-86.04946, 34.662102)"
AL,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",Alabama,"c(-87.579001, 33.238719)"
AL,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",Alabama,"c(NA, NA)"
AL,JACKSON HEALTH CARE FACILITY,Alabama,"c(NA, NA)"
AL,DIVERSICARE OF PELL CITY,Alabama,"c(-86.310642, 33.595754)"
AL,BROWN NURSING HOME,Alabama,"c(-85.979185, 32.952411)"
AL,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",Alabama,"c(-85.401017, 32.638357)"
AL,CROWNE HEALTH CARE OF GREENVILLE,Alabama,"c(-86.636685, 31.842381)"
AL,PIEDMONT HEALTH CARE CENTER,Alabama,"c(-85.60789, 33.908571)"
AL,VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,Alabama,"c(-86.398024, 33.593208)"
AL,PARK PLACE,Alabama,"c(-87.053552, 32.426488)"
AL,LAFAYETTE EXTENDED CARE,Alabama,"c(-85.412365, 32.884336)"
AL,CROWNE HEALTH CARE OF EUFAULA,Alabama,"c(-85.158103, 31.890289)"
AL,CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,Alabama,"c(-85.662084, 34.16484)"
AL,"GENERATIONS OF RED BAY, LLC",Alabama,"c(-88.146575, 34.450158)"
AL,MCGUFFEY HEALTH & REHABILITATION CENTER,Alabama,"c(-86.01993, 33.970964)"
AL,ATTALLA HEALTH AND REHAB,Alabama,"c(-86.107809, 33.984972)"
AL,GOODWATER HEALTHCARE CENTER,Alabama,"c(-86.052701, 33.067394)"
AL,DECATUR HEALTH & REHAB CENTER,Alabama,"c(-87.008052, 34.568871)"
AL,COLLINSVILLE HEALTHCARE & REHAB,Alabama,"c(-85.857688, 34.271329)"
AL,"OZARK HEALTH AND REHABILITATION, LLC",Alabama,"c(-85.633872, 31.472283)"
AL,DIVERSICARE OF BESSEMER,Alabama,"c(-86.991533, 33.369766)"
AL,"OPP HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.255097, 31.293368)"
AL,TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,Alabama,"c(-88.073534, 30.716861)"
AL,SELF HEALTH CARE & REHAB CENTER INC,Alabama,"c(-86.991687, 33.458202)"
AL,TROY HEALTH & REHABILITATION CENTER,Alabama,"c(-85.963219, 31.779017)"
AL,MADISON MANOR NURSING HOME,Alabama,"c(-86.751669, 34.683955)"
AL,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,Alabama,"c(-87.687293, 34.80827)"
AL,DIVERSICARE OF FOLEY,Alabama,"c(-87.685462, 30.427691)"
AL,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",Alabama,"c(-87.620846, 33.239209)"
AL,WEST GATE VILLAGE,Alabama,"c(NA, NA)"
AL,"CRIMSON HEALTH AND REHAB, LLC",Alabama,"c(-86.261591, 32.318021)"
AL,DIVERSICARE OF MONTGOMERY,Alabama,"c(-86.279247, 32.358466)"
AL,NORTHSIDE HEALTH CARE,Alabama,"c(-85.954822, 34.042751)"
AL,BARFIELD HEALTH CARE,Alabama,"c(-86.263931, 34.421687)"
AL,"GENERATIONS OF VERNON, LLC",Alabama,"c(-88.171487, 33.723473)"
AL,"MONTGOMERY HEALTH AND REHAB, LLC",Alabama,"c(-86.238939, 32.317353)"
AL,WEST HILL HEALTH AND REHAB,Alabama,"c(-86.899142, 33.47607)"
AL,"RIDGEWOOD HEALTH SERVICES, INC.",Alabama,"c(-87.280154, 33.850615)"
AL,ENTERPRISE HEALTH & REHABILITATION CENTER,Alabama,"c(-85.836699, 31.30296)"
AL,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.808144, 33.406063)"
AL,ENGLEWOOD HEALTH CARE CENTER,Alabama,"c(-87.319172, 31.499204)"
AL,"PARK MANOR HEALTH AND REHABILITATION, LLC",Alabama,"c(-87.579677, 33.239917)"
AL,MARENGO NURSING HOME,Alabama,"c(-87.798181, 32.314081)"
AL,"PHENIX CITY HEALTH CARE, INC",Alabama,"c(-85.034045, 32.497496)"
AL,"LUVERNE HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.266136, 31.716316)"
AL,LAUDERDALE CHRISTIAN NURSING HOME,Alabama,"c(-87.528812, 34.912422)"
AL,OAKS ON PARKWOOD SKILLED NURSING FACILITY,Alabama,"c(-86.888227, 33.36173)"
AL,HERITAGE HEALTH CARE & REHAB INC,Alabama,"c(-87.56034, 33.228213)"
AL,REGENCY HEALTH CARE AND REHABILITATION CENTER,Alabama,"c(-86.595342, 34.761811)"
AL,DIVERSICARE OF LANETT,Alabama,"c(-85.19576, 32.857048)"
AL,CAMDEN NURSING FACILITY INC.,Alabama,"c(NA, NA)"
AL,ANNISTON HEALTH AND REHAB SERVICES,Alabama,"c(NA, NA)"
AL,DIVERSICARE OF WINFIELD,Alabama,"c(-87.820898, 33.937692)"
AL,MARSHALL MANOR NURSING HOME,Alabama,"c(-86.312714, 34.316279)"
AL,MOBILE NURSING AND REHABILITATION CENTER,Alabama,"c(-88.204855, 30.657825)"
AL,WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,Alabama,"c(-87.902895, 30.668202)"
AL,CANTERBURY HEALTH CARE FACILITY,Alabama,"c(-85.019552, 32.447315)"
AL,WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,Alabama,"c(-86.853063, 34.151669)"
AL,ADAMS NURSING HOME,Alabama,"c(-85.934314, 32.944915)"
AL,EAST GLEN,Alabama,"c(-86.664617, 33.596299)"
AL,CAPITOL HILL HEALTHCARE CENTER,Alabama,"c(-86.303503, 32.371427)"
AL,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",Alabama,"c(-85.765334, 33.809973)"
AL,CYPRESS COVE CARE CENTER,Alabama,"c(NA, NA)"
AL,CROWNE HEALTH CARE OF MONTGOMERY,Alabama,"c(-86.282117, 32.386047)"
AL,COLONIAL HAVEN CARE & REHABILITATION CENTER,Alabama,"c(-87.585068, 32.699648)"
AL,WINDSOR HOUSE,Alabama,"c(-86.630382, 34.71745)"
AL,MONROE MANOR HEALTH & REHABILITATION CENTER,Alabama,"c(-87.328088, 31.526525)"
AL,MEADOWVIEW NURSING CENTER,Alabama,"c(NA, NA)"
AL,EL REPOSO NURSING FACILITY,Alabama,"c(-87.582079, 34.969866)"
AL,"PALM GARDENS HEALTH AND REHABILITATION, LLC",Alabama,"c(-88.118942, 30.692507)"
AL,BARON HOUSE OF HUEYTOWN,Alabama,"c(-86.979029, 33.446755)"
AL,"GRAND BAY CONVALESCENT HOME, INC.",Alabama,"c(-88.367719, 30.470208)"
AL,HEALTH CARE INC,Alabama,"c(-86.286517, 33.861741)"
AL,"WALKER REHABILITATION CENTER, INC",Alabama,"c(-87.522981, 33.888127)"
AL,EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI,Alabama,"c(-85.404003, 32.638055)"
AL,SHELBY RIDGE NURSING HOME,Alabama,"c(-86.811821, 33.251015)"
AL,LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,Alabama,"c(-87.014543, 32.439932)"
AL,LAFAYETTE NURSING HOME,Alabama,"c(-85.407587, 32.885534)"
AL,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,Alabama,"c(-86.665468, 33.634742)"
AL,JOHN KNOX MANOR INC  I I,Alabama,"c(-86.282062, 32.322232)"
AL,FALKVILLE HEALTH CARE CENTER,Alabama,"c(-86.910173, 34.368669)"
AL,ALICEVILLE MANOR NURSING HOME,Alabama,"c(-88.16865, 33.134382)"
AL,HENDRIX HEALTH AND REHABILITATION,Alabama,"c(-87.409783, 34.163162)"
AL,"TALLASSEE HEALTH AND REHABILITATION, LLC",Alabama,"c(-85.937908, 32.569049)"
AL,ARBOR WOODS HEALTH AND REHAB,Alabama,"c(-88.019974, 33.381773)"
AL,"LINEVILLE HEALTH AND REHABILITATION, LLC",Alabama,"c(-85.758194, 33.304426)"
AL,FOREST MANOR HEALTH AND REHAB,Alabama,"c(-87.580309, 33.239022)"
AL,AHAVA HEALTHCARE OF ALABASTER,Alabama,"c(-86.826511, 33.253477)"
AL,DIVERSICARE OF RIVERCHASE,Alabama,"c(NA, NA)"
AL,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,Alabama,"c(-85.253084, 31.55448)"
AL,DIVERSICARE OF ARAB,Alabama,"c(-86.492998, 34.312876)"
AL,SUNSET MANOR,Alabama,"c(-87.917408, 33.96997)"
AL,WIREGRASS REHABILITATION CENTER & NURSING HOME,Alabama,"c(-85.890837, 31.048063)"
AL,AZALEA GARDENS OF MOBILE,Alabama,"c(-88.082071, 30.691974)"
AL,EXTENDICARE HEALTH CENTER,Alabama,"c(-85.390383, 31.211341)"
AL,ARLINGTON REHABILITATION & HEALTHCARE CENTER,Alabama,"c(-86.849493, 33.495663)"
AL,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,Alabama,"c(-87.823706, 33.707708)"
AL,ROBERTSDALE REHABILITATION & HEALTHCARE CTR,Alabama,"c(-87.70559, 30.563858)"
AL,CHERRY HILL REHABILITATION & HEALTHCARE CENTER,Alabama,"c(-86.868957, 33.560549)"
AL,GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,Alabama,"c(-86.782274, 33.50606)"
AL,MONTROSE BAY HEALTH AND REHAB,Alabama,"c(-87.899732, 30.555349)"
AL,SOUTH HAMPTON NURSING & REHABILITATION CENTER,Alabama,"c(-86.454131, 34.587484)"
AL,WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,Alabama,"c(NA, NA)"
AL,FLORALA HEALTH AND REHABILITATION LLC,Alabama,"c(-86.311653, 31.001042)"
AL,OAK PARK,Alabama,"c(-85.450592, 32.63319)"
AL,"COLUMBIANA HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.591664, 33.19437)"
AL,FAIRVIEW AT REDSTONE VILLAGE,Alabama,"c(-86.559341, 34.607304)"
AL,MOUNT ROYAL TOWERS,Alabama,"c(-86.769205, 33.465377)"
AL,"GULF COAST HEALTH AND REHABILITATION, LLC",Alabama,"c(-88.230211, 30.661305)"
AL,KIRKWOOD BY THE RIVER,Alabama,"c(-86.634703, 33.542569)"
AL,AHC MILLENIUM,Alabama,"c(-86.6647, 34.753558)"
AL,GALLERIA WOODS SKILLED NURSING FACILITY,Alabama,"c(-86.81743, 33.365101)"
AL,CHARLTON PLACE REHAB AND HEALTHCARE CENTER,Alabama,"c(-86.416539, 32.504623)"
AL,LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,Alabama,"c(-86.956908, 33.489091)"
AL,KNOLLWOOD HEALTHCARE,Alabama,"c(-88.173687, 30.623805)"
AL,"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",Alabama,"c(-86.810021, 33.410061)"
AL,ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,Alabama,"c(-87.569485, 33.231822)"
AL,TRUSSVILLE HEALTH & REHABILITATION CENTER,Alabama,"c(-86.609624, 33.613592)"
AL,ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,Alabama,"c(-86.737347, 33.427556)"
AL,"LONGLEAF HEALTH AND REHAB, LLC",Alabama,"c(-86.285673, 32.326566)"
AL,SANCTUARY AT THE WOODLANDS,Alabama,"c(-86.844082, 34.150254)"
AL,FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,Alabama,"c(-86.32689, 32.351485)"
AL,MONTGOMERY CHILDREN'S SPECIALTY CENTER,Alabama,"c(-86.286729, 32.42435)"
AL,CUMBERLAND HEALTH AND REHAB,Alabama,"c(-85.763719, 34.918678)"
AL,TLC NURSING CENTER,Alabama,"c(-86.456099, 33.964315)"
AL,BROOKDALE UNIVERSITY PARK SNF (AL),Alabama,"c(-86.799149, 33.457706)"
AL,ROANOKE REHABILITATION & HEALTHCARE CENTER,Alabama,"c(-85.383506, 33.141878)"
AL,WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,Alabama,"c(-85.45514, 31.242318)"
AL,CROWNE HEALTH CARE OF SPRINGHILL,Alabama,"c(-88.131367, 30.686734)"
AL,KENSINGTON HEALTH AND REHABILITATION,Alabama,"c(-88.051751, 30.694418)"
AL,GLENWOOD CENTER,Alabama,"c(-87.631777, 34.833104)"
AL,ST MARTIN'S IN THE PINES,Alabama,"c(-86.717311, 33.52718)"
AL,LYNWOOD NURSING HOME,Alabama,"c(-88.13685, 30.626021)"
AL,SPRINGHILL SENIOR RESIDENCE,Alabama,"c(-88.130213, 30.68706)"
AL,HILLVIEW TERRACE,Alabama,"c(-86.246592, 32.381057)"
AL,"FOLSOM CENTER FOR REHABILITATION AND HEALTHCARE, T",Alabama,"c(-86.840555, 34.181184)"
AL,"HUNTSVILLE HEALTH & REHABILITATION, LLC",Alabama,"c(-86.578866, 34.677399)"
AL,ORCHARD REHABILITATION & HEALTHCARE CENTER,Alabama,"c(-86.590764, 32.178871)"
AL,CROWNE HEALTH CARE OF THOMASVILLE,Alabama,"c(-87.736349, 31.931292)"
AL,"CHAPMAN HEALTHCARE CENTER, INC",Alabama,"c(-85.919439, 32.909983)"
AL,FAIRHOPE HEALTH & REHAB,Alabama,"c(-87.904817, 30.520236)"
AL,OAKVIEW MANOR HEALTH CARE CENTER,Alabama,"c(-85.646107, 31.428264)"
AL,SPRINGHILL MANOR NURSING HOME,Alabama,"c(-88.134047, 30.698571)"
AL,ANDALUSIA MANOR,Alabama,"c(-86.497781, 31.282419)"
AL,BIBB MED CENTER NURSING HOME,Alabama,"c(-87.147865, 32.951101)"
AL,OAKWOOD-NORTH BALDWIN'S CENTER FOR LIVING,Alabama,"c(-87.786446, 30.905552)"
AL,BIRMINGHAM NURSING AND REHABILITATION CTR LLC,Alabama,"c(-86.881976, 33.547224)"
AL,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",Alabama,"c(-86.749704, 34.755024)"
AL,HARTFORD HEALTH CARE,Alabama,"c(-85.679378, 31.102014)"
AR,INDIAN ROCK VILLAGE HEALTH CENTER,Arkansas,"c(-92.263021, 35.617374)"
AR,SOMERSET SENIOR LIVING AT SEVEN SPRINGS,Arkansas,"c(-92.033955, 35.502206)"
AR,"CRESTPARK WYNNE, LLC",Arkansas,"c(-89.909902, 35.924401)"
AR,ASH FLAT HEALTHCARE AND REHABILITATION CENTER,Arkansas,"c(-91.609375, 36.229743)"
AR,"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",Arkansas,"c(-92.461642, 35.068405)"
AR,WALNUT RIDGE NURSING AND REHABILITATION CENTER,Arkansas,"c(-90.971918, 36.074893)"
AR,"NASHVILLE WELLNESS, LLC",Arkansas,"c(-93.846333, 33.958838)"
AR,RIVER RIDGE REHABILITATION AND CARE CENTER,Arkansas,"c(-90.78129, 35.216024)"
AR,"JOHNSON COUNTY HEALTH AND REHAB, LLC",Arkansas,"c(-93.438865, 35.464252)"
AR,LAKE VILLAGE REHABILITATION AND CARE CENTER,Arkansas,"c(-91.289924, 33.315317)"
AR,THE GREEN HOUSE COTTAGES OF WENTWORTH PLACE,Arkansas,"c(-93.211869, 33.279835)"
AR,"COURTYARD REHABILITATION AND HEALTH CENTER, LLC",Arkansas,"c(-92.697943, 33.207792)"
AR,CAVE CITY NURSING HOME INC,Arkansas,"c(-91.551406, 35.948016)"
AR,RIVER CHASE REHABILITATION AND CARE CENTER,Arkansas,"c(NA, NA)"
AR,ROGERS HEALTH AND REHABILITATION CENTER,Arkansas,"c(-94.133588, 36.311903)"
AR,HOT SPRINGS NURSING AND REHABILITATION- A WATERS C,Arkansas,"c(-93.04697, 34.472615)"
AR,BUTTERFIELD TRAIL VILLAGE,Arkansas,"c(-94.13287, 36.120087)"
AR,JONESBORO WELLNESS LLC,Arkansas,"c(-90.68648, 35.80113)"
AR,MAGNOLIA HEALTHCARE LLC,Arkansas,"c(-93.210542, 33.296281)"
AR,VALLEY SPRINGS REHABILITATION AND HEALTH CENTER,Arkansas,"c(-94.362707, 35.459182)"
AR,SPRINGDALE HEALTH AND REHABILITATION CENTER,Arkansas,"c(-94.161389, 36.186187)"
AR,SEARCY HEALTHCARE LLC,Arkansas,"c(-91.757823, 35.245533)"
AR,SOMERSET SENIOR LIVING AT CANYON SPRINGS,Arkansas,"c(-93.037342, 34.533296)"
AR,"CONCORDIA NURSING & REHAB, LLC",Arkansas,"c(-94.252992, 36.474911)"
AR,"THE WATERS OF MOUNTAIN VIEW, LLC",Arkansas,"c(-92.107819, 35.869237)"
AR,BROOKRIDGE COVE REHABILITATION AND CARE  CENTER,Arkansas,"c(-92.733359, 35.167991)"
AR,WEST MEMPHIS HEALTH AND REHAB,Arkansas,"c(-90.193613, 35.137995)"
AR,GASSVILLE THERAPY AND LIVING,Arkansas,"c(-92.499243, 36.280682)"
AR,"CRESTPARK FORREST CITY, LLC",Arkansas,"c(-90.772228, 35.016898)"
AR,FAYETTEVILLE HEALTH AND REHABILITATION CENTER,Arkansas,"c(-94.13334, 36.108229)"
AR,"CRESTPARK HELENA, LLC",Arkansas,"c(-90.620528, 34.541173)"
AR,WOODRUFF COUNTY HEALTH CENTER,Arkansas,"c(-91.204114, 35.269183)"
AR,PLEASANT MANOR NURSING & REHAB,Arkansas,"c(-94.116603, 33.665135)"
AR,MAPLE HEALTHCARE,Arkansas,"c(-91.56222, 34.778946)"
AR,"THE WATERS OF STAMPS, LLC",Arkansas,"c(-93.489996, 33.369119)"
AR,DES ARC NURSING AND REHABILITATION CENTER,Arkansas,"c(-91.519958, 34.977335)"
AR,THE GREEN HOUSE COTTAGES OF BELLE MEADE,Arkansas,"c(-90.515341, 36.043874)"
AR,DERMOTT CITY NURSING HOME,Arkansas,"c(-91.444469, 33.519137)"
AR,SILVER OAKS HEALTH AND REHABILITATION,Arkansas,"c(-92.862455, 33.550941)"
AR,THE WOODS OF MONTICELLO HEALTH AND REHABILITATION,Arkansas,"c(-91.79136, 33.645199)"
AR,"CRESTPARK DEWITT, LLC",Arkansas,"c(-91.349773, 34.274759)"
AR,GENERAL BAPTIST NURSING HOME OF PIGGOTT,Arkansas,"c(-90.198413, 36.380542)"
AR,PERRY COUNTY NURSING AND REHABILITATION CENTER,Arkansas,"c(-92.812169, 35.007919)"
AR,STELLA MANOR NURSING AND REHABILITATION CENTER,Arkansas,"c(-93.152568, 35.286758)"
AR,SOUTHFORK RIVER THERAPY AND LIVING,Arkansas,"c(-91.597412, 36.237638)"
